id,title,date,topic,source_url,score,text
istmat_001,"№ 219. Постановление Совета Рабочей и Крестьянской Обороны. Об объявлении Петрограда, . Петроградской, Олонецкой и Череповецкой губерний на осадном положении и о мерах защиты Петрограда.",2254,аграрная политика,https://istmat.org/node/37877,33,"Реквизиты Направление: Органы власти Тип документа: Правительственные и нормативные акты Государство: СССР Датировка: 1919.05.02 Метки: СТО Источник: Собрание узаконений и распоряжений правительства за 1919 г. Управление делами Совнаркома СССР М. 1943 стр. 308-309. Архив: Распубликовано в № 93 Известий Всероссийского Центрального Исполнительного Комитета Советов от 3 мая 1919 года. Статья № 219. Постановление Совета Рабочей и Крестьянской Обороны. Об объявлении Петрограда, . Петроградской, Олонецкой и Череповецкой губерний на осадном положении и о мерах защиты Петрограда. В ночь на 2 мая получено радио-телеграфное сообщение из Парижа о посланном будто бы Финляндским правительством ультиматуме Советскому Правительству России, содержащем требование прекращения нападения в Карелии и угрозу объявления войны в случае неудовлетворения требования. До сего времени Правительство Р.С.Ф.С.Р. этого ультиматума Финляндского правительства не получало и никакого наступления в Карелии не ведет. Усматривая, однако, в полученном сообщении намерение Финляндского правительства оправдать беззастенчивой ложью новый хищнический набег, желание обмануть финских рабочих и учитывая возможность наступления белогвардейских банд на Красный Петроград, Совет Рабочей и Крестьянской Обороны постановил: 1) Объявить Петроград, Петроградскую, Олонецкую и Череповецкую губернии на осадном положении. 2) Поручить Революционному Военному Совету Республики принятие всех тех мер, кои он признает необходимыми для защиты Петрограда. 3) Предложить Петроградской Трудовой Коммуне в деле защиты Петрограда оказывать Петроградскому Окружному Комиссариату по Военным Делам и N‑ой армии самое широкое содействие и помощь своим авторитетом и аппаратом. 4) Предоставить право Петроградскому Комиссариату по Военным Делам призывать под ружье все то число способных к несению полевой походной службы и нужных для формирования вспомогательных и тыловых армейских частей и учреждений рабочих и не эксплуатирующих чужого труда крестьян, которое потребуется ходом военной обстановки. 5) Предоставить Петроградской Трудовой Коммуне право получить все имеющееся у населения имущество, пригодное для вооружения и снаряжения воинских частей, обороняющих подступы к Петрограду, и обязать Петроградский Окружный Комиссариат по военным делам принять действительные меры к получению указанного имущества. 6) Предоставить Петроградской трудовой Коммуне право вводить всеобщую трудовую повинность во всех отраслях труда и службы, кои могут оказать серьезную помощь при организации защиты Петрограда, 7) Поручить Петроградской Трудовой Коммуне и Петроградскому Окружному Комиссариату по военным делам всеми имеющимися в их распоряжении средствами очистить тыл армии от контрреволюционных элементов. 8) О сделанных распоряжениях и принятых мерах Петроградской Трудовой Коммуне и Петроградскому Окружному Комиссариату по военным делам телеграфировать ежедневно Совету Рабочей и Крестьянской Обороны, Революционному Военному Совету Республики, в копиях Всероссийскому Главному Штабу. Подписали: Председатель Совета Обороны В. Ульянов (Ленин) . За Председателя Революционного Военного Совета Республики член Совета Обороны Э . Склянский . Секретарь Совета Обороны Л. Фотиева . 2 мая 1919 года. Распубликовано в № 93 Известий Всероссийского Центрального Исполнительного Комитета Советов от 3 мая 1919 года. ‹ № 218. Постановление Совета Рабочей и Крестьянской Обороны. О привлечении в ряды Красной Армии лиц, служивших в артиллерии, инженерных, технических и железнодорожных войсках, а также во флоте механиками, машинистами и сигнальщиками. Вверх № 220. Декрет Совета Народных Комиссаров. О социальном обеспечении инвалидов красноармейцев и их семейств. (Положение). ›"
istmat_002,"№ 265. Декрет Совета Народных Комиссаров. О передаче функций Петроградского губернского распорядительного комитета, в отношении города Петрограда, Петроградскому городскому самоуправлению.",1119,аграрная политика,https://istmat.org/node/28410,31,"Реквизиты Тема: Революция Направление: Органы власти Тип документа: Правительственные и нормативные акты Государство: СССР Датировка: 1918.01.23 Метки: СНК Источник: Собрание узаконений и распоряжений правительства за 1917—1918 гг. Управление делами Совнаркома СССР М. 1942, стр.288. Архив: Распубликовано в № 15 Газеты Рабочего и Крестьянского Правительства от 23 января 1918 года. Статья № 265. Декрет Совета Народных Комиссаров. О передаче функций Петроградского губернского распорядительного комитета, в отношении города Петрограда, Петроградскому городскому самоуправлению. 1. Все функции Петроградского губернского распорядительного комитета, в отношении города Петрограда, передаются Петроградскому городскому самоуправлению. 2. Все отпускаемые из государственных средств кредиты, ассигнуемые по городу Петрограду для уплаты за занятые под постой помещения, а также на оборудование и ремонт последних, переходят непосредственно в распоряжение Петроградского городского самоуправления. 3. Взамен правил о расквартировании по городам войск, изложенных в Уставе о земских повинностях, Петроградскому городскому самоуправлению предоставляется выработать в отношении города Петрограда новые правила. Подписали: Председатель Совета Народных Комиссаров В . Ульянов (Ленин) . Народные Комиссары: Петровский, В. Трутовский, Шляпников, В. Менжинский, Оболенский, Легран . Управляющий делами Совета Народных Комиссаров Бонч-Бруевич . Распубликовано в № 15 Газеты Рабочего и Крестьянского Правительства от 23 января 1918 года. ‹ № 264. Декрет Совета Народных Комиссаров. О центральной контрольной коллегии и местных учетно-контрольных коллегиях и комиссиях. Вверх № 266. Декрет Совета Народных Комиссаров. О конфискации фабрики Маркушевича. ›"
istmat_003,Справка ИНФО ОГІІУ об откликах рабочих завода им. Петровского (Днепропетровск) на посещение завода председателем ВУЦИК Г. И. Петровским. 29 августа 1930 г.,1930.08.29,реформы и государственная политика,https://istmat.org/node/26334,24,"Реквизиты Тема: Индустриализация Направление: Суды и правоохранительные органы Тип документа: Справки и отчёты Государство: СССР Датировка: 1930.08.29 Метки: ОГПУ Источник: ""Совершенно Секретно"": Лубянка Сталину о положении в стране (1922-1934 гг), т.8, ч.1, 1930 г., Москва, 2008 Стр. 468-469 Архив: ЦА ФСБ Ф. 2. Оп. 8. Д. 655. Л. 917-920. Подлинник. 29 августа 1930 г. № 386461 Совершенно секретно 18 августа тов. Петровский посетил некоторые цеха завода им. Петровского. В беседах с тов. Петровским рабочие больше всего касались перебоев в продовольственном и промснабжении, причем отмечены были отдельные резкие высказывания. Тот факт, что тов. Петровский ограничился беседой с рабочими по цехам, не собрав рабочих на общезаводское собрание, вызвал недовольство рабочих. Если часть рабочих высказывала недовольство тем, что не удалось на собрании поставить перед тов. Петровским во всей полноте вопроса продснабжения, то старые производственники высказывали сожаление, что не удалось рассказать тов. Петровскому «о наших беспорядках и о том, что привело к прорыву (в выполнении промфинпланов) на заводе». Сам факт приезда тов. Петровского на завод рабочие увязывали с прорывом в выполнении промфинплана на заводе; отмечены отдельные высказывания, что приезд тов. Петровского связан с усилением военной опасности. Приводим наиболее характерные высказывания рабочих. В прокатном цехе тов. Петровский был окружен рабочими. Попытка тов. Петровского свести разговор на производственную тему не удалась, ибо его вопросы в основном отводились разговорами вокруг рабочего снабжения. Из собравшейся группы бросались реплики: «Скажите о сале... Пусть попробует пшенную кашу и пусть знает, что нас кормят селедкой»... Член партии машинист Колупаев, лично знакомый тов. Петровскому, громко говорил, обращаясь к тов. Петровскому: «Плохо нам живется, тов. Петровский, нечего есть и администрация нас крепко жмет». Один рабочий, по кличке «Джигун», поступивший на завод 4 месяца тому назад (по его словам, бывший член партии), говорил в группе рабочих: «Что нам помогают приезды вождей, они наше положение не улучшат, ездят сюда не для того, чтобы помочь нам, а чтобы подогнать нас, чтобы был выполнен промфинплан. В противном случае скажут, что мы правые уклонисты и с промфинпланом не справляемся». Некоторые рабочие сами, не желая выступать на тему рабснабжения, между собой говорили, что было бы целесообразно выставить для беседы с тов. Петровским старого рабочего Никифорова, «который отличается умением говорить» (Никифоров — старый рабочий, пьяница, большой бузотер, в прошлом находился под влиянием меньшевиков). В группе вальцовщиков прокатного цеха по поводу приезда тов. Петровского рабочий Мамонтов говорил: «Тов. Петровский пользуется среди нас большим уважением. Если бы приехал другой вождь, он бы имел большие неприятности, так как рабочие теперь разъярены. Даже те рабочие, которые хорошо относятся к советской власти, теперь против всех озлоблены и ищут на ком бы злобу излить. Жалко, что тов. Петровский не устроил собрания, на котором мы бы ему многое рассказали о наших беспорядках и о том, что привело к прорыву на заводе». В доменном цехе, в механической мастерской, где работают старые рабочие, среди последних было недовольство тем, что им не удалось поговорить с тов. Петровским. Рабочий Ковтуненко говорил: «Поскольку все, кто успел поговорить с ним, ругали его за рабочее снабжение, то он решил, что мы превратились в шкурников, и не захотел больше с нами дела иметь. Он интересуется производственными вопросами, и мы могли бы ему многое рассказать». В другой группе рабочих той же мастерской в беседе о приезде тов. Петровского были такие замечания: «Усиленно поговаривают о войне, не связан ли его приезд с возможностями войны, всегда перед войной вожди объезжают места для проверки преданности власти населения». Во время пребывания тов. Петровского на 10-м приводе рабочий Силкин, бывший меньшевик, обращаясь к нему, спрашивал: «Почему меня преследуют, когда говорю о трудностях?» Рабочий доменной печи № 6 Голубев в группе рабочих говорил: «Не сумели мы использовать приезд тов. Петровского. Если бы мы знали, что он будет на заводе, мы бы приготовили заявление от всего цеха с просьбой улучшить наше положение. Тут, на заводе, некому своего недовольства рассказать. Если скажешь, что трудно жить, то начинают обзывать тебя шкурником и чуть ли не контрреволюционером. Наши администраторы и профработники превращаются в старых хозяйчиков, которые тоже не хотели слышать никаких жалоб». В Новотокарном цехе среди молодых рабочих было много разговоров относительно пребывания тов. Петровского в цехе. Все высказывали свое удовлетворение тем, что побывал в цехе. По этому поводу некоторые говорили: «Он в наш цех заглянул потому, что наш цех является военным, и на случай войны он будет играть большую роль. С нами на заводе мало считаются, мы зарабатываем меньше всех, но в центре понимают, что мы выполняем большую работу». В группе старых рабочих происходил разговор: «Тов. Петровский приехал проверить, как работает наш завод. Похвалиться нечем, наш завод работает хуже всех остальных и все это потому, что нет честных и преданных администраторов». Начальник Информотдела ОГПУ Запорожец Начальник 2 отделения ИНФО Гросман Справка рассылается: 1) Менжинскому; 2) Мессингу; 3) Ольскому; 4) Каулю; 5) Агранову; 6) В деле; 7) В отделении; 8) В отделении. ‹ Спецсводка № 37 СОУ ОГПУ и ИНФО ОГПУ о фактах отрицательного характера по промпредприятиям и рабочим районам на 27 августа 1930 года Вверх Спецсводка № 2 ИНФО ОГПУ по иностранным рабочим, работающим на предприятиях Советского Союза. 30 августа 1930 г. ›"
istmat_004,№ 268. Декрет Совета Народных Комиссаров. Об объявлении собственностью Российской Республики имущества и капиталов Петроградского страхового товарищества и о передаче заведывания делами товарищества Петроградской общегородской больничной кассе.,1126,аграрная политика,https://istmat.org/node/28421,20,"Реквизиты Тема: Революция Направление: Органы власти Тип документа: Правительственные и нормативные акты Государство: СССР Датировка: 1918.01.23 Метки: СНК Источник: Собрание узаконений и распоряжений правительства за 1917—1918 гг. Управление делами Совнаркома СССР М. 1942, стр. 289. Архив: Распубликовано в № 15 Газеты Рабочего и Крестьянского Правительства от 23 января 1918 года. Статья № 268. Декрет Совета Народных Комиссаров. Об объявлении собственностью Российской Республики имущества и капиталов Петроградского страхового товарищества и о передаче заведывания делами товарищества Петроградской общегородской больничной кассе. В виду неподчинения правления Петроградского окружного страхового товарищества распоряжениям Комиссаров Советской власти, Совет Народных Комиссаров 20 января 1918 года постановил: 1) Объявить все имущество и капиталы Петроградского страхового товарищества собственностью государства. 2) Впредь до издания нового закона о страховании от несчастных случаев на основе рабочей страховой программы передать заведывание делами Петроградского страхового товарищества, назначение, выдачу пенсий и пособий, а равно экспертизу увечных, — Петроградской общегородской больничной кассе. 3) Установленные в страховом товариществе взносы по обеспечению увечных производить в Государственный банк на текущий счет Петроградского страхового товарищества. Подписали: Председатель Совета Народных Комиссаров Вл. Ульянов (Ленин) . Народные Комиссары: А. Шляпников, Г. Петровский, В. Оболенский, И. Штейнберг, В. Менжинский, В. Алгасов . Управляющий делами Совета Народных Комиссаров В. Бонч-Бруевич . Распубликовано в № 15 Газеты Рабочего и Крестьянского Правительства от 23 января 1918 года. ‹ № 267. Декрет Совета Народных Комиссаров. О конфискации завода Петроградского арматурно-электрического общества. Вверх № 269. Декрет Совета Народных Комиссаров. О прекращении отпуска кредита на содержание канцелярии бывшего Учредительного Собрания. ›"
istmat_005,№ 504. Постановление Совета Народных Комиссаров. О предоставлении председателям Участковых по подоходному налогу Присутствий г. Петрограда и Петроградской губернии права определять размер доходов за 1917 год и о сроке для принесения жалоб на их решения.,1354,государственное управление,https://istmat.org/node/30010,20,"Реквизиты Тема: Революция Направление: Органы власти Тип документа: Правительственные и нормативные акты Государство: СССР Датировка: 1918.05.16 Метки: СНК Источник: Собрание узаконений и распоряжений правительства за 1917—1918 гг. Управление делами Совнаркома СССР М. 1942, стр. 536. Архив: Распубликовано в № 111 Известий Всероссийского Центрального Исполнительного Комитета Советов от 2 июня (20 мая) 1918 года. Статья № 504. Постановление Совета Народных Комиссаров. О предоставлении председателям Участковых по подоходному налогу Присутствий г. Петрограда и Петроградской губернии права определять размер доходов за 1917 год и о сроке для принесения жалоб на их решения. В изменение и дополнение подлежащих узаконений Совет Народных Комиссаров постановляет: 1) Определение размера облагаемого подоходным налогом за 1917 год дохода подлежащих сему налогу лиц, установлений, обществ, компаний, товариществ, артелей и общественных собраний по городу Петрограду и Петроградской губерний и исчисление окладов сего налога, причитающегося с них за тот же год, предоставить председателям подлежащих Участковых по подоходному налогу Присутствий. 2) Срок для принесения жалоб в Губернское по подоходному налогу Присутствие па решения председателей Участковых Присутствий по означенным в пункте 1 делам установить месячный со дня, назначаемого Народным Комиссаром для рассылки плательщикам окладных листов. Подписали: Председатель Совета Народных Комиссаров В. Ульянов (Ленин) . Управляющий делами Совета Народных Комиссаров Вл. Бонч-Бруевич . 16 (3) мая 1918 года Распубликовано в № 111 Известий Всероссийского Центрального Исполнительного Комитета Советов от 2 июня (20 мая) 1918 года. ‹ № 503. Декрет Совета Народных Комиссаров. Об организации управления казачьими областями. Вверх № 505. Декрет Совета Народных Комиссаров. Об упразднении рангов дипломатических представителей и об именовании таковых Полномочными Представителями Российской Социалистической Федеративной Советской Республики. ›"
istmat_006,"№ 614. Декрет Совета Народных Комиссаров. О призыве на военную службу по гг. Москве и Петрограду рабочих, родившихся в 1893-1895 гг., и по всем уездам Московской, Петроградской, Владимирской, Нижегородской, Вятской и Пермской губерний — в 1896-1897 гг.",1508,государственное управление,https://istmat.org/node/30717,20,"Реквизиты Тема: Революция Направление: Вооружённые силы и оборона Тип документа: Правительственные и нормативные акты Государство: Российская Федерация Датировка: 1918.07.29 Метки: СНК Источник: Собрание узаконений и распоряжений правительства за 1917—1918 гг. Управление делами Совнаркома СССР М. 1942, стр. 741-742. Архив: Распубликован в № 161 Известий Всероссийского Центрального Исполнительного Комитета Советов от 31 июля 1918 года. Статья № 614. Декрет Совета Народных Комиссаров. О призыве на военную службу по гг. Москве и Петрограду рабочих, родившихся в 1893, 1894 и 1895 гг., и по всем уездам Московской, Петроградской, Владимирской, Нижегородской, Вятской и Пермской губерний — в 1896 и 1897 гг. I. Призвать на военную службу постоянно и временно проживающих в городах Москве и Петрограде рабочих, родившихся в 1893, 1894 и 1895 годах, за исключением тех рабочих города Москвы, которые призваны ранее по декрету 29‑го июня с. г. (служившие в артиллерии и инженерных войсках) (Собр. Узак. и Расп. Раб. и Кр. Прав., № 48, ст. 562). II. Призвать на военную службу рабочих, родившихся в 1896 и 1897 годах, постоянно и временно проживающих во всех уездах Московской, Петроградской, Владимирской, Нижегородской, Вятской и Пермской губерний. III. Призыв и прием на военную службу рабочих в городах Москве и Петрограде произвести на тех же основаниях, на которых производился в названных городах призыв по декретам от 17‑го и 29‑го июня сего года (Собр. Узак. и Расп. Раб. и Кр. Прав., № 44, ст. 534 и № 48, ст. 563). IV. Призыв и прием на военную службу рабочих, проживающих в названных в пункте II сего декрета губерниях, произвести на основании «Наставления о приеме на военную службу», объявленного в приказе Народного Комиссариата по Военным Делам от 14‑го июня сего года (Собр. Узак., № 43, ст. 530). V. При производстве призыва по настоящему декрету надлежит применять: а) к служащим, мастеровым и рабочим железных дорог — утвержденное Советом Народных Комиссаров «Положение об организации военно-железнодорожных частей и о порядке призыва железнодорожных служащих по мобилизации» (Собр. Узак. и Расп. Раб. и Кр. Правит., № 48 ст. 565); б) к служащим правительственных учреждений и рабочим промышленных предприятий — декрет Совета Народных Комиссаров о порядке призыва сих служащих и рабочих (Собр. Узак. и Расп. Раб. и Кр. Правит., № 48, ст. 564). VI. Время начала призыва предоставляется установить подлежащим окружным комиссариатам по военным делам. VII. Распределение по частям войск принятых на военную службу по настоящему декрету рабочих произвести распоряжением подлежащих окружных комиссариатов по военным делам для формирования дивизий, назначенных Народным Комиссариатом по Военным Делам. Подписали: Председатель Совета Народных Комиссаров В. Ульянов (Ленин) . Управляющий Делами Совета Народных Комиссаров Влад. Бонч-Бруевич . 29 июля 1918 года. Распубликован в № 161 Известий Всероссийского Центрального Исполнительного Комитета Советов от 31 июля 1918 года. ‹ № 56. от 2 августа 1918 г. Отдел первый. Вверх № 615. Постановление Совета Народных Комиссаров. Об ограничении совместной службы родственников в Советских учреждениях. ›"
istmat_007,№ 309. Постановление Высшего Совета Народного Хозяйства. Об Южном Районном Управлении Главного Управления Государственными предприятиями бумажной промышленности (Положение).,3209,государственное управление,https://istmat.org/node/42326,20,"Реквизиты Направление: Органы власти Тип документа: Правительственные и нормативные акты Датировка: 1920.07.30 Метки: ВСНХ Источник: Собрание узаконений и распоряжений правительства за 1920 г. Управление делами Совнаркома СССР М. 1943. стр. 473-474. Статья № 309. Постановление Высшего Совета Народного Хозяйства. Об Южном Районном Управлении Главного Управления Государственными предприятиями бумажной промышленности (Положение). Для управления южными бумажными фабриками при Промбюро Высшего Совета Народного Хозяйства организуется районное управление Главного Управления Государственными Предприятиями бумажной промышленности («Южбум») с местопребыванием в гор. Харькове. Примечание . В управление Южбума входят фабрики: Донская (б. Папченко), Донецкая (Змиевская), Матвеево-Курганекая, Роганьская, Нижне-Днепровская, Одесская и те, кои будут включены последующими распоряжениями Главбума. Являясь районным управлением Главного Управления, Южбум подчиняется непосредственно Главному Управлению и действует в пределах данной ему инструкции и предписаний Главбума. Примечание . Промбюро осуществляет контроль над деятельностью Южбума и отдельных предприятий в пределах Положения о Промбюро. В задачи Южного Отделения входят: 1) Общее управление фабриками, 2) Комплектование личного состава фабрик, 3) Заготовка местных материалов и снабжение ими фабрик, 4) Распоряжение предоставленными для фабрик кредитами, 5) Все сношения с местными правительственными учреждениями, 6) Ведение районным складом, 7) Отпуск, вырабатываемой и складской бумаги по нарядам Главбума. Примечание . Никакие иные учреждения не имеют права выдачи нарядов на бумагу непосредственно на фабрики или склады. 8) Ликвидации дел для прежних владельцев национализируемых предприятий. Во главе Южбума стоит управляющий и его заместитель, назначаемый Главбумом по соглашению с Ц.К. Профсоюза Рабочих Бумажного Производства. Рабочий аппарат Южбума состоит из следующих отделов: 1) Техническое Бюро, 2) Бюро Снабжения, 3) Обще-административный Отдел, 4) Фин-Счета, 5) Районный склад. Подписал: Зам. Председателя Высшего Совета Народного Хозяйства А. Ломов . ‹ № 308. Постановление Народных Комиссариатов Просвещения, Здравоохранения и Юстиции. Инструкция Комиссиям по делам о несовершеннолетних. Вверх № 69 от 3 августа 1920 г. ›"
istmat_008,№ 87. По Петроградскому Военному Округу Полевого Штаба Главнокомандующего. Об организации гласных товарищеских судов во всех воинских частях Петроградского Военного Округа.,907,аграрная политика,https://istmat.org/node/28057,20,"Реквизиты Тема: Революция Направление: Органы власти Тип документа: Правительственные и нормативные акты Государство: СССР Датировка: 1917.12.03 Метки: СНК Источник: Собрание узаконений и распоряжений правительства за 1917—1918 гг. Управление делами Совнаркома СССР М. 1942, стр. 69. Архив: Распубликовано в № 25 Газеты Временного Рабочего и Крестьянского Правительства от 5 декабря 1917 года. Статья № 87. По Петроградскому Военному Округу Полевого Штаба Главнокомандующего. Об организации гласных товарищеских судов во всех воинских частях Петроградского Военного Округа. Приказ № 13. По Петроградскому Военному Округу Полевого Штаба Главнокомандующего. Именем Рабочей и Крестьянской власти предписываю. 1. Во всех ротах, сотнях, эскадронах, батареях во вверенном мне округе установить гласные товарищеские суды для разбора проступков, принижающих звание гражданина-воина. 2. Товарищеский суд может налагать наказания от выговора до лишения очередного отпуска и назначения на хозяйственные работы в частях на срок до двух недель. 3. Товарищеские суды обязаны рассматривать дело в 24 часа. Разбор дела происходит гласно. 4. Для разбора более важных проступков при частях учреждаются выборные полковые (бригадные), батарейные суды. Их заседания происходят только гласно, и дела должны быть рассматриваемы в 24 часа. Наказания, налагаемые ими, от выговоров до двух месяцев общественных работ. 5. Постановления товарищеских судов публиковать в приказах по части и сообщать по месту прежнего жительства (в волость, деревню, завод и др.). Революционные суды. 6. Совершившие серьезные проступки по службе и против революции предаются революционному суду при местных Петроградских Советах Рабочих и Солдатских Депутатов. 7. Самовольное оставление поста, пьянство при несении караульной службы и т. п. преступления караются общественными работами до шести месяцев. Главнокомандующий Округом Антонов . Начальник Штаба Лукин . Член Контрольной Комиссии Троицкий . 3 декабря 1917 года. Распубликовано в № 25 Газеты Временного Рабочего и Крестьянского Правительства от 5 декабря 1917 года. ‹ № 86. Постановление по Комиссариату торговли и промышленности по части торгового мореплавания. О выдаче свидетельств на звание механика третьего разряда по управлению двигателями внутреннего сгорания на судах торгового флота. Вверх № 88. От Народного Комиссара по продовольствию. О саботаже чиновников Министерства Продовольствия. ›"
